epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,5.122897,4.288351,0.00029940
2,stage1_frozen_encoder,4.129211,4.015429,0.00029462
3,stage1_frozen_encoder,3.901923,3.899519,0.00028518
4,stage1_frozen_encoder,3.763534,3.836756,0.00027139
5,stage1_frozen_encoder,3.661296,3.803649,0.00025371
6,stage1_frozen_encoder,3.578308,3.780466,0.00023268
7,stage1_frozen_encoder,3.509492,3.768185,0.00020900
8,stage1_frozen_encoder,3.448884,3.760574,0.00018343
9,stage1_frozen_encoder,3.396886,3.758910,0.00015677
10,stage1_frozen_encoder,3.351598,3.757637,0.00012990
11,stage1_frozen_encoder,3.312969,3.757941,0.00010368
12,stage1_frozen_encoder,3.279192,3.757708,0.00007895
13,stage1_frozen_encoder,3.251922,3.757296,0.00005650
14,stage1_frozen_encoder,3.231452,3.759996,0.00003705
15,stage1_frozen_encoder,3.214452,3.758860,0.00002124
16,stage1_frozen_encoder,3.202318,3.760295,0.00000957
17,stage1_frozen_encoder,3.195246,3.759342,0.00000241
18,stage1_frozen_encoder,3.191957,3.761624,0.00000000
19,stage2_finetune_last_stage,3.266252,3.767130,0.00029862
20,stage2_finetune_last_stage,3.248893,3.770197,0.00028763
21,stage2_finetune_last_stage,3.181780,3.775781,0.00026642
22,stage2_finetune_last_stage,3.117903,3.786545,0.00023658
23,stage2_finetune_last_stage,3.058973,3.799891,0.00020031
24,stage2_finetune_last_stage,3.002353,3.812926,0.00016031
25,stage2_finetune_last_stage,2.951634,3.822243,0.00011954
26,stage2_finetune_last_stage,2.908198,3.830408,0.00008103
27,stage2_finetune_last_stage,2.871421,3.837084,0.00004764
28,stage2_finetune_last_stage,2.843811,3.843395,0.00002185
29,stage2_finetune_last_stage,2.825347,3.846390,0.00000557
30,stage2_finetune_last_stage,2.816473,3.845557,0.00000000
