epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,12.187693,4.983586,0.00029939
2,stage1_frozen_encoder,4.528489,4.216476,0.00029585
3,stage1_frozen_encoder,4.164722,4.062281,0.00028924
4,stage1_frozen_encoder,4.018964,3.990721,0.00027970
5,stage1_frozen_encoder,3.920585,3.938029,0.00026742
6,stage1_frozen_encoder,3.836824,3.904318,0.00025267
7,stage1_frozen_encoder,3.762631,3.872833,0.00023576
8,stage1_frozen_encoder,3.690723,3.846301,0.00021704
9,stage1_frozen_encoder,3.623556,3.821557,0.00019690
10,stage1_frozen_encoder,3.557288,3.815452,0.00017578
11,stage1_frozen_encoder,3.493860,3.797232,0.00015411
12,stage1_frozen_encoder,3.431068,3.782482,0.00013236
13,stage1_frozen_encoder,3.371037,3.778588,0.00011098
14,stage1_frozen_encoder,3.315543,3.773652,0.00009042
15,stage1_frozen_encoder,3.264205,3.771200,0.00007112
16,stage1_frozen_encoder,3.216058,3.767035,0.00005348
17,stage1_frozen_encoder,3.174583,3.764753,0.00003787
18,stage1_frozen_encoder,3.138514,3.768624,0.00002463
19,stage1_frozen_encoder,3.110202,3.769367,0.00001403
20,stage1_frozen_encoder,3.088691,3.768041,0.00000629
21,stage1_frozen_encoder,3.075216,3.771758,0.00000158
22,stage1_frozen_encoder,3.069205,3.769732,0.00000000
23,stage2_finetune_last_stage,3.400566,3.848362,0.00029820
24,stage2_finetune_last_stage,3.483257,3.828042,0.00028793
25,stage2_finetune_last_stage,3.421846,3.815331,0.00026917
26,stage2_finetune_last_stage,3.349402,3.807932,0.00024305
27,stage2_finetune_last_stage,3.269212,3.802342,0.00021121
28,stage2_finetune_last_stage,3.183694,3.800549,0.00017559
29,stage2_finetune_last_stage,3.097241,3.801412,0.00013839
30,stage2_finetune_last_stage,3.011998,3.809598,0.00010191
31,stage2_finetune_last_stage,2.930497,3.816827,0.00006839
32,stage2_finetune_last_stage,2.862635,3.827848,0.00003991
33,stage2_finetune_last_stage,2.807573,3.836452,0.00001820
34,stage2_finetune_last_stage,2.772221,3.839008,0.00000462
35,stage2_finetune_last_stage,2.752170,3.843725,0.00000000
