epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,12.155077,4.889562,0.00029939
2,stage1_frozen_encoder,4.529223,4.229546,0.00029585
3,stage1_frozen_encoder,4.194994,4.057808,0.00028924
4,stage1_frozen_encoder,4.053370,3.986024,0.00027970
5,stage1_frozen_encoder,3.955399,3.932325,0.00026742
6,stage1_frozen_encoder,3.875396,3.876185,0.00025267
7,stage1_frozen_encoder,3.802671,3.861487,0.00023576
8,stage1_frozen_encoder,3.735255,3.820461,0.00021704
9,stage1_frozen_encoder,3.670802,3.803891,0.00019690
10,stage1_frozen_encoder,3.608906,3.781122,0.00017578
11,stage1_frozen_encoder,3.549890,3.759547,0.00015411
12,stage1_frozen_encoder,3.492902,3.746828,0.00013236
13,stage1_frozen_encoder,3.437794,3.738705,0.00011098
14,stage1_frozen_encoder,3.385602,3.728959,0.00009042
15,stage1_frozen_encoder,3.338485,3.723338,0.00007112
16,stage1_frozen_encoder,3.294286,3.721917,0.00005348
17,stage1_frozen_encoder,3.256446,3.718142,0.00003787
18,stage1_frozen_encoder,3.223836,3.717648,0.00002463
19,stage1_frozen_encoder,3.198268,3.716658,0.00001403
20,stage1_frozen_encoder,3.178836,3.717280,0.00000629
21,stage1_frozen_encoder,3.166667,3.717634,0.00000158
22,stage1_frozen_encoder,3.159468,3.717934,0.00000000
23,stage2_finetune_last_stage,3.207179,3.719527,0.00004850
24,stage2_finetune_last_stage,3.199201,3.714476,0.00004041
25,stage2_finetune_last_stage,3.166776,3.715368,0.00002763
26,stage2_finetune_last_stage,3.133076,3.714722,0.00001405
27,stage2_finetune_last_stage,3.107417,3.715711,0.00000380
28,stage2_finetune_last_stage,3.090735,3.715864,0.00000000
