epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,12.156196,4.890924,0.00029939
2,stage1_frozen_encoder,4.533742,4.228816,0.00029585
3,stage1_frozen_encoder,4.196314,4.059265,0.00028924
4,stage1_frozen_encoder,4.055300,3.991922,0.00027970
5,stage1_frozen_encoder,3.955885,3.926742,0.00026742
6,stage1_frozen_encoder,3.874759,3.878450,0.00025267
7,stage1_frozen_encoder,3.801694,3.857092,0.00023576
8,stage1_frozen_encoder,3.734217,3.815581,0.00021704
9,stage1_frozen_encoder,3.668958,3.803438,0.00019690
10,stage1_frozen_encoder,3.607472,3.779699,0.00017578
11,stage1_frozen_encoder,3.549123,3.756359,0.00015411
12,stage1_frozen_encoder,3.491063,3.742901,0.00013236
13,stage1_frozen_encoder,3.437040,3.738261,0.00011098
14,stage1_frozen_encoder,3.384313,3.727082,0.00009042
15,stage1_frozen_encoder,3.337288,3.720178,0.00007112
16,stage1_frozen_encoder,3.293470,3.718133,0.00005348
17,stage1_frozen_encoder,3.254650,3.714945,0.00003787
18,stage1_frozen_encoder,3.222346,3.715436,0.00002463
19,stage1_frozen_encoder,3.196363,3.713731,0.00001403
20,stage1_frozen_encoder,3.177729,3.713473,0.00000629
21,stage1_frozen_encoder,3.165171,3.713705,0.00000158
22,stage1_frozen_encoder,3.158477,3.713910,0.00000000
23,stage2_finetune_last_stage,3.459287,3.809335,0.00029820
24,stage2_finetune_last_stage,3.534330,3.783473,0.00028793
25,stage2_finetune_last_stage,3.479798,3.767571,0.00026917
26,stage2_finetune_last_stage,3.415034,3.751747,0.00024305
27,stage2_finetune_last_stage,3.343131,3.746853,0.00021121
28,stage2_finetune_last_stage,3.265983,3.736923,0.00017559
29,stage2_finetune_last_stage,3.188766,3.738438,0.00013839
30,stage2_finetune_last_stage,3.112348,3.736369,0.00010191
31,stage2_finetune_last_stage,3.040059,3.742523,0.00006839
32,stage2_finetune_last_stage,2.979329,3.744132,0.00003991
33,stage2_finetune_last_stage,2.930527,3.746291,0.00001820
34,stage2_finetune_last_stage,2.897470,3.750180,0.00000462
35,stage2_finetune_last_stage,2.880563,3.751813,0.00000000
