epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,10.381171,4.497634,0.00029701
2,stage1_frozen_encoder,4.384679,4.131901,0.00028390
3,stage1_frozen_encoder,4.132280,3.990682,0.00026128
4,stage1_frozen_encoder,3.990091,3.911728,0.00023075
5,stage1_frozen_encoder,3.873210,3.844719,0.00019448
6,stage1_frozen_encoder,3.766109,3.799251,0.00015505
7,stage1_frozen_encoder,3.666549,3.751661,0.00011526
8,stage1_frozen_encoder,3.572185,3.716571,0.00007793
9,stage1_frozen_encoder,3.490257,3.694148,0.00004573
10,stage1_frozen_encoder,3.423599,3.683752,0.00002095
11,stage1_frozen_encoder,3.376589,3.678646,0.00000533
12,stage1_frozen_encoder,3.352734,3.679055,0.00000000
13,stage2_finetune_last_stage,3.411726,3.689449,0.00004886
14,stage2_finetune_last_stage,3.397821,3.685585,0.00004398
15,stage2_finetune_last_stage,3.367058,3.677894,0.00003602
16,stage2_finetune_last_stage,3.336002,3.676408,0.00002628
17,stage2_finetune_last_stage,3.306336,3.671048,0.00001632
18,stage2_finetune_last_stage,3.280424,3.668871,0.00000778
19,stage2_finetune_last_stage,3.261076,3.668023,0.00000203
20,stage2_finetune_last_stage,3.251686,3.668400,0.00000000
