epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,12.019192,4.893443,0.00029939
2,stage1_frozen_encoder,4.492493,4.175221,0.00029585
3,stage1_frozen_encoder,4.152758,4.016714,0.00028924
4,stage1_frozen_encoder,4.011266,3.951699,0.00027970
5,stage1_frozen_encoder,3.913901,3.894298,0.00026742
6,stage1_frozen_encoder,3.834016,3.855067,0.00025267
7,stage1_frozen_encoder,3.762906,3.818205,0.00023576
8,stage1_frozen_encoder,3.696683,3.778564,0.00021704
9,stage1_frozen_encoder,3.633470,3.758535,0.00019690
10,stage1_frozen_encoder,3.573612,3.730166,0.00017578
11,stage1_frozen_encoder,3.514779,3.719039,0.00015411
12,stage1_frozen_encoder,3.459267,3.708465,0.00013236
13,stage1_frozen_encoder,3.405045,3.694311,0.00011098
14,stage1_frozen_encoder,3.353086,3.684793,0.00009042
15,stage1_frozen_encoder,3.305014,3.677423,0.00007112
16,stage1_frozen_encoder,3.261548,3.675002,0.00005348
17,stage1_frozen_encoder,3.222752,3.672608,0.00003787
18,stage1_frozen_encoder,3.190639,3.672696,0.00002463
19,stage1_frozen_encoder,3.164416,3.668744,0.00001403
20,stage1_frozen_encoder,3.144662,3.669551,0.00000629
21,stage1_frozen_encoder,3.131951,3.669457,0.00000158
22,stage1_frozen_encoder,3.125454,3.669610,0.00000000
23,stage2_finetune_last_stage,3.176367,3.680438,0.00004850
24,stage2_finetune_last_stage,3.176856,3.675215,0.00004041
25,stage2_finetune_last_stage,3.149497,3.673557,0.00002763
26,stage2_finetune_last_stage,3.121142,3.672500,0.00001405
27,stage2_finetune_last_stage,3.096343,3.672873,0.00000380
28,stage2_finetune_last_stage,3.081661,3.673485,0.00000000
