epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,10.380161,4.530147,0.00029701
2,stage1_frozen_encoder,4.386092,4.137798,0.00028390
3,stage1_frozen_encoder,4.136135,3.992229,0.00026128
4,stage1_frozen_encoder,3.992902,3.919307,0.00023075
5,stage1_frozen_encoder,3.876804,3.857609,0.00019448
6,stage1_frozen_encoder,3.769853,3.809796,0.00015505
7,stage1_frozen_encoder,3.669016,3.759948,0.00011526
8,stage1_frozen_encoder,3.574833,3.719775,0.00007793
9,stage1_frozen_encoder,3.492387,3.699326,0.00004573
10,stage1_frozen_encoder,3.426038,3.688769,0.00002095
11,stage1_frozen_encoder,3.378855,3.683176,0.00000533
12,stage1_frozen_encoder,3.354498,3.683689,0.00000000
13,stage2_finetune_last_stage,3.413655,3.692819,0.00004886
14,stage2_finetune_last_stage,3.399861,3.687781,0.00004398
15,stage2_finetune_last_stage,3.368228,3.682771,0.00003602
16,stage2_finetune_last_stage,3.337307,3.678968,0.00002628
17,stage2_finetune_last_stage,3.307506,3.674842,0.00001632
18,stage2_finetune_last_stage,3.282325,3.672616,0.00000778
19,stage2_finetune_last_stage,3.262243,3.671875,0.00000203
20,stage2_finetune_last_stage,3.253158,3.672261,0.00000000
